
  1. setup                                          : etime=00:00:00.4    ctime=00:00:01.2    rss= 30.887 Mbyte     virtual= 20.238 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=254.723 Mbyte     virtual=433.504 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:00.9    rss=254.875 Mbyte     virtual=433.625 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss=254.875 Mbyte     virtual=433.625 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=254.875 Mbyte     virtual=433.625 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=254.875 Mbyte     virtual=433.625 Mbyte     
     4. solving linear system                       : etime=00:00:00.5    ctime=00:00:03.4    rss=254.875 Mbyte     virtual=433.625 Mbyte     
        1. setup solver                             : etime=00:00:00.5    ctime=00:00:03.0    rss=254.875 Mbyte     virtual=433.625 Mbyte     
        2. solve                                    : etime=00:00:00.1    ctime=00:00:00.4    rss=254.875 Mbyte     virtual=433.625 Mbyte     

 11. Frequency 3.5 GHz                              : etime=00:00:00.6    ctime=00:00:03.7    rss=254.875 Mbyte     virtual=433.738 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:00.9    rss=254.875 Mbyte     virtual=433.738 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=254.875 Mbyte     virtual=433.625 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:00.8    rss=254.875 Mbyte     virtual=433.738 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss=254.875 Mbyte     virtual=433.738 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=254.875 Mbyte     virtual=433.738 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=254.875 Mbyte     virtual=433.738 Mbyte     
     4. solving linear system                       : etime=00:00:00.4    ctime=00:00:02.7    rss=254.875 Mbyte     virtual=433.738 Mbyte     
        1. setup solver                             : etime=00:00:00.3    ctime=00:00:02.4    rss=254.875 Mbyte     virtual=433.738 Mbyte     
        2. solve                                    : etime=00:00:00.0    ctime=00:00:00.3    rss=254.875 Mbyte     virtual=433.738 Mbyte     

 12. Frequency 3.08333 GHz                          : etime=00:00:00.7    ctime=00:00:04.3    rss=254.938 Mbyte     virtual=433.762 Mbyte     
     1. constructing matrix                         : etime=00:00:00.3    ctime=00:00:01.1    rss=254.938 Mbyte     virtual=433.762 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=254.875 Mbyte     virtual=433.738 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:01.0    rss=254.938 Mbyte     virtual=433.762 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss=254.938 Mbyte     virtual=433.762 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=254.938 Mbyte     virtual=433.762 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=254.938 Mbyte     virtual=433.762 Mbyte     
     4. solving linear system                       : etime=00:00:00.4    ctime=00:00:03.2    rss=254.938 Mbyte     virtual=433.762 Mbyte     
        1. setup solver                             : etime=00:00:00.4    ctime=00:00:02.7    rss=254.938 Mbyte     virtual=433.762 Mbyte     
        2. solve                                    : etime=00:00:00.1    ctime=00:00:00.4    rss=254.938 Mbyte     virtual=433.762 Mbyte     

 13. Frequency 3.29167 GHz                          : etime=00:00:00.6    ctime=00:00:04.0    rss=254.984 Mbyte     virtual=433.762 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:01.0    rss=254.984 Mbyte     virtual=433.762 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=254.938 Mbyte     virtual=433.762 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:00.9    rss=254.984 Mbyte     virtual=433.762 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss=254.984 Mbyte     virtual=433.762 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=254.984 Mbyte     virtual=433.762 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=254.984 Mbyte     virtual=433.762 Mbyte     
     4. solving linear system                       : etime=00:00:00.4    ctime=00:00:03.0    rss=254.984 Mbyte     virtual=433.762 Mbyte     
        1. setup solver                             : etime=00:00:00.3    ctime=00:00:02.5    rss=254.984 Mbyte     virtual=433.762 Mbyte     
        2. solve                                    : etime=00:00:00.1    ctime=00:00:00.4    rss=254.984 Mbyte     virtual=433.762 Mbyte     

 14. Frequency 3.91667 GHz                          : etime=00:00:00.6    ctime=00:00:03.8    rss=255.199 Mbyte     virtual=433.855 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:00.9    rss=255.199 Mbyte     virtual=433.855 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=254.984 Mbyte     virtual=433.762 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:00.8    rss=255.199 Mbyte     virtual=433.855 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss=255.199 Mbyte     virtual=433.855 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=255.199 Mbyte     virtual=433.855 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=255.199 Mbyte     virtual=433.855 Mbyte     
     4. solving linear system                       : etime=00:00:00.4    ctime=00:00:02.8    rss=255.199 Mbyte     virtual=433.855 Mbyte     
        1. setup solver                             : etime=00:00:00.3    ctime=00:00:02.5    rss=255.199 Mbyte     virtual=433.855 Mbyte     
        2. solve                                    : etime=00:00:00.1    ctime=00:00:00.3    rss=255.199 Mbyte     virtual=433.855 Mbyte     

 15. Frequency 2.25 GHz                             : etime=00:00:00.5    ctime=00:00:03.0    rss=255.199 Mbyte     virtual=433.855 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:00.9    rss=255.199 Mbyte     virtual=433.855 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=255.199 Mbyte     virtual=433.855 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:00.8    rss=255.199 Mbyte     virtual=433.855 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss=255.199 Mbyte     virtual=433.855 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=255.199 Mbyte     virtual=433.855 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=255.199 Mbyte     virtual=433.855 Mbyte     
     4. solving linear system                       : etime=00:00:00.3    ctime=00:00:02.1    rss=255.199 Mbyte     virtual=433.855 Mbyte     
        1. setup solver                             : etime=00:00:00.2    ctime=00:00:01.8    rss=255.199 Mbyte     virtual=433.855 Mbyte     
        2. solve                                    : etime=00:00:00.0    ctime=00:00:00.3    rss=255.199 Mbyte     virtual=433.855 Mbyte     

 16. Frequency 4.54167 GHz                          : etime=00:00:00.5    ctime=00:00:03.2    rss=255.426 Mbyte     virtual=434.441 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:00.9    rss=255.426 Mbyte     virtual=434.441 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=255.199 Mbyte     virtual=433.855 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:00.8    rss=255.426 Mbyte     virtual=434.441 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss=255.426 Mbyte     virtual=434.441 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=255.426 Mbyte     virtual=434.441 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=255.426 Mbyte     virtual=434.441 Mbyte     
     4. solving linear system                       : etime=00:00:00.3    ctime=00:00:02.3    rss=255.426 Mbyte     virtual=434.441 Mbyte     
        1. setup solver                             : etime=00:00:00.3    ctime=00:00:02.0    rss=255.426 Mbyte     virtual=434.441 Mbyte     
        2. solve                                    : etime=00:00:00.0    ctime=00:00:00.3    rss=255.426 Mbyte     virtual=434.441 Mbyte     

 17. Frequency 5.58333 GHz                          : etime=00:00:00.6    ctime=00:00:03.9    rss=255.426 Mbyte     virtual=434.441 Mbyte     
     1. constructing matrix                         : etime=00:00:00.2    ctime=00:00:00.8    rss=255.426 Mbyte     virtual=434.441 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=255.426 Mbyte     virtual=434.441 Mbyte     
        2. 3d                                       : etime=00:00:00.1    ctime=00:00:00.8    rss=255.426 Mbyte     virtual=434.441 Mbyte     
        3. 2d                                       : etime=00:00:00.1    ctime=00:00:00.1    rss=255.426 Mbyte     virtual=434.441 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=255.426 Mbyte     virtual=434.441 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=255.426 Mbyte     virtual=434.441 Mbyte     
     4. solving linear system                       : etime=00:00:00.4    ctime=00:00:03.0    rss=255.426 Mbyte     virtual=434.441 Mbyte     
        1. setup solver                             : etime=00:00:00.3    ctime=00:00:02.7    rss=255.426 Mbyte     virtual=434.441 Mbyte     
        2. solve                                    : etime=00:00:00.0    ctime=00:00:00.3    rss=255.426 Mbyte     virtual=434.441 Mbyte     
